# Source: Teixeira et al. 2025, "Circling in on plasmids: benchmarking plasmid
# detection and reconstruction tools for short-read data from diverse
# species", Briefings in Bioinformatics 26(6):bbaf589, DOI 10.1093/bib/bbaf589.
# Table: Supplementary Table 1 (ST1) - "Biosample identifiers and assembly
# statistics for Enterobacterales and Enterococcus isolates", from
# circling_in_on_plasmids_-_supplementary_tables_bbaf589.xlsx.
# Extracted: 2026-09-07, by python/parse_teixeira2025_supplement.py's author,
# via openpyxl against the publisher-hosted xlsx (not committed here -- see
# the paper's own Supplementary data link at
# https://academic.oup.com/bib/article/26/6/bbaf589/8320154).
# Columns are ST1's own, verbatim: BioSample, Taxon, and Identifier (the
# paper's own isolate name), plus four columns describing each isolate's prior
# publication/sequencing-instrument provenance (ST1's own footnote: some
# Enterobacterales isolates had previously published Illumina-only assemblies,
# but new Illumina-only assemblies were generated for this study regardless).
# This is a raw, unmodified transcription -- it is not itself a candidate
# table (no assembly_accession/sra_run; see
# python/parse_teixeira2025_supplement.py and teixeira2025_candidates.tsv).

biosample	taxon	identifier	prior_illumina_assembly_source	illumina_instrument	prior_hybrid_assembly_source	long_read_instrument
SAMN16255644	Enterococcus mangumiae	DIV2371	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255696	Enterococcus mangumiae	DIV2381	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255711	Enterococcus mangumiae	DIV2417	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255535	Enterococcus pernyi	AZ045	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255420	Enterococcus mundtii	AZ062	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255521	Enterococcus pernyi	AZ080	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255399	Enterococcus pernyi	AZ084	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255587	Enterococcus pernyi	AZ093	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255519	Enterococcus pernyi	AZ095b	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255497	Enterococcus pernyi	AZ147	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255514	Enterococcus pernyi	AZ153	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255515	Enterococcus pernyi	AZ156	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255499	Enterococcus pernyi	AZ161	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255501	Enterococcus pernyi	AZ162	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255469	Enterococcus pernyi	AZ171	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255467	Enterococcus pernyi	AZ172	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255597	Enterococcus mundtii	DIV0806c	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255518	Enterococcus pernyi	DIV0996a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255528	Enterococcus pernyi	DIV1286c	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255551	Enterococcus mundtii	DIV1288f	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255527	Enterococcus pernyi	DIV1368e	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255433	Enterococcus pernyi	DIV2389	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255558	Enterococcus pernyi	DIV2316	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255536	Enterococcus pernyi	DIV2357	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255458	Enterococcus pernyi	GCID-2587	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255503	Enterococcus pernyi	GCID-2731	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255436	Enterococcus mundtii	GCID-2734	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255370	Enterococcus raffinosus	GCID-2558	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255362	Enterococcus angrensis	AZ109	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
SAMN16255364	Enterococcus sp.	GCID-2686	newly sequenced	NovaSeq 6000	newly sequenced	GridION
SAMN16255548	Enterococcus thailandicus	GCID-2628	newly sequenced	NovaSeq 6000	newly sequenced	GridION
