# Versioned candidate ledger extracted from ST1 of Teixeira 2025 bbaf589 (DOI 10.1093/bib/bbaf589) on 2026-09-07.
# assembly_accession/sra_run are intentionally empty pending NCBI
# resolution (see python/resolve_ncbi_accessions.py) -- this file is
# NOT yet valid input to `plasbench curate-cohort`, which requires
# both columns populated. Never merge these rows directly into a
# public-vN cohort: run resolve_ncbi_accessions.py, then
# curate-cohort, then a stratified pilot download/score, before any
# release (see docs/FINDING_DATA.md).
sample_id	assembly_accession	sra_run	organism	biosample	source_study	source_doi	source_table	paper_identifier	prior_illumina_assembly_source	illumina_instrument	prior_hybrid_assembly_source	long_read_instrument
enterococcus_faecalis_az134_118			Enterococcus faecalis	SAMN16255618	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ134	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_faecalis_az151_119			Enterococcus faecalis	SAMN16255663	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ151	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_faecalis_az180_120			Enterococcus faecalis	SAMN16255678	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ180	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_faecalis_az183_121			Enterococcus faecalis	SAMN16255610	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ183	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_faecalis_div0188_122			Enterococcus faecalis	SAMN16255586	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0188	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div0198e_123			Enterococcus faecalis	SAMN16255653	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0198e	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div0206e_124			Enterococcus faecalis	SAMN16255418	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0206e	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div0238e_125			Enterococcus faecalis	SAMN16255382	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0238e	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div0682_126			Enterococcus faecalis	SAMN16255616	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0682	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div0719d_127			Enterococcus faecalis	SAMN16255381	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0719d	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div0839b_128			Enterococcus faecalis	SAMN16255596	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0839b	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div0841a_129			Enterococcus faecalis	SAMN16255673	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0841a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1315a_130			Enterococcus faecalis	SAMN16255423	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1315a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1318a_131			Enterococcus faecalis	SAMN16255701	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1318a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1325a_132			Enterococcus faecalis	SAMN16255629	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1325a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1337a_133			Enterococcus faecalis	SAMN16255669	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1337a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1347a_134			Enterococcus faecalis	SAMN16255666	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1347a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1368f_135			Enterococcus faecalis	SAMN16255627	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1368f	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1375a_136			Enterococcus faecalis	SAMN16255483	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1375a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1406a_137			Enterococcus faecalis	SAMN16255717	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1406a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1409a_138			Enterococcus faecalis	SAMN16255671	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1409a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1444a_139			Enterococcus faecalis	SAMN16255407	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1444a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1537a_140			Enterococcus faecalis	SAMN16255461	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1537a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div1614a_141			Enterococcus faecalis	SAMN16255545	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1614a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div2372_142			Enterococcus faecalis	SAMN16255660	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2372	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div2385_143			Enterococcus faecalis	SAMN16255724	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2385	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div2386_144			Enterococcus faecalis	SAMN16255555	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2386	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div2416_145			Enterococcus faecalis	SAMN16255441	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2416	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div2419_146			Enterococcus faecalis	SAMN16255417	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2419	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div2454a_147			Enterococcus faecalis	SAMN16255642	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2454a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div2455a_148			Enterococcus faecalis	SAMN16255450	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2455a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div2461a_149			Enterococcus faecalis	SAMN16255449	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2461a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div2463a_150			Enterococcus faecalis	SAMN16255675	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2463a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_div2468a_151			Enterococcus faecalis	SAMN16255451	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2468a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2553_152			Enterococcus faecalis	SAMN16255472	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2553	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2561_153			Enterococcus faecalis	SAMN16255485	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2561	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2573_154			Enterococcus faecalis	SAMN16255481	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2573	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2583_155			Enterococcus faecalis	SAMN16255728	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2583	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2608_156			Enterococcus faecalis	SAMN16255489	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2608	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2611_157			Enterococcus faecalis	SAMN16255480	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2611	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2612_158			Enterococcus faecalis	SAMN16255654	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2612	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2636_159			Enterococcus faecalis	SAMN16255631	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2636	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2646_160			Enterococcus faecalis	SAMN16255638	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2646	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2648_161			Enterococcus faecalis	SAMN16255460	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2648	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2653_162			Enterococcus faecalis	SAMN16255606	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2653	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2660_163			Enterococcus faecalis	SAMN16255665	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2660	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2662_164			Enterococcus faecalis	SAMN16255484	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2662	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2664_165			Enterococcus faecalis	SAMN16255444	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2664	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2674_166			Enterococcus faecalis	SAMN16255714	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2674	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2676_167			Enterococcus faecalis	SAMN16255604	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2676	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2680_168			Enterococcus faecalis	SAMN16255684	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2680	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2685_169			Enterococcus faecalis	SAMN16255487	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2685	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2687_170			Enterococcus faecalis	SAMN16255415	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2687	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2694_171			Enterococcus faecalis	SAMN16255590	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2694	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2700_172			Enterococcus faecalis	SAMN16255603	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2700	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2705_173			Enterococcus faecalis	SAMN16255719	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2705	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2708_174			Enterococcus faecalis	SAMN16255492	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2708	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2709_175			Enterococcus faecalis	SAMN16255698	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2709	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2712_176			Enterococcus faecalis	SAMN16255704	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2712	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2718_177			Enterococcus faecalis	SAMN16255726	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2718	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2720_178			Enterococcus faecalis	SAMN16255488	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2720	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2723_179			Enterococcus faecalis	SAMN16255552	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2723	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2730_180			Enterococcus faecalis	SAMN16255664	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2730	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecalis_gcid_2732_181			Enterococcus faecalis	SAMN16255479	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2732	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecium_az146_182			Enterococcus faecium	SAMN16255531	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ146	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_faecium_div0007_183			Enterococcus faecium	SAMN16255609	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0007	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecium_div0436a_184			Enterococcus faecium	SAMN16255635	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0436a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecium_div0673_185			Enterococcus faecium	SAMN16255647	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0673	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecium_div0837a_186			Enterococcus faecium	SAMN16255539	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0837a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_lactis_div0872a_187			Enterococcus lactis	SAMN16255585	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0872a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecium_div0901a_188			Enterococcus faecium	SAMN16255690	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0901a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecium_div1248a_189			Enterococcus faecium	SAMN16255564	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1248a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_lactis_div2377_190			Enterococcus lactis	SAMN16255582	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2377	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_lactis_div2383_191			Enterococcus lactis	SAMN16255589	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2383	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_lactis_div2391_192			Enterococcus lactis	SAMN16255578	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2391	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecium_div2446a_193			Enterococcus faecium	SAMN16255538	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2446a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_lactis_gcid_2651_194			Enterococcus lactis	SAMN16255579	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2651	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_lactis_gcid_2675_195			Enterococcus lactis	SAMN16255580	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2675	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecium_gcid_2696_196			Enterococcus faecium	SAMN16255708	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2696	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecium_gcid_2719_197			Enterococcus faecium	SAMN16255723	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2719	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_faecium_gcid_2733_198			Enterococcus faecium	SAMN16255722	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2733	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_flavescens_az063_199			Enterococcus flavescens	SAMN16255581	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ063	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_flavescens_div0970a_200			Enterococcus flavescens	SAMN16255534	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0970a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_flavescens_div2449a_201			Enterococcus flavescens	SAMN16255396	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2449a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_flavescens_div2469a_202			Enterococcus flavescens	SAMN16255395	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2469a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_flavescens_div2472a_203			Enterococcus flavescens	SAMN16255394	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2472a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_gallinarum_az034_204			Enterococcus gallinarum	SAMN16255561	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ034	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_gallinarum_gcid_2724_205			Enterococcus gallinarum	SAMN16255465	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2724	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_gilvus_az048_206			Enterococcus gilvus	SAMN16255386	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ048	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_hirae_az077_207			Enterococcus hirae	SAMN16255648	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ077	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_hirae_az078_208			Enterococcus hirae	SAMN16255438	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ078	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_hirae_az082_209			Enterococcus hirae	SAMN16255628	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ082	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_hirae_az085_210			Enterococcus hirae	SAMN16255624	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ085	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_hirae_div1371a_211			Enterococcus hirae	SAMN16255598	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1371a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_hirae_div1421a_212			Enterococcus hirae	SAMN16255541	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1421a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_hirae_div1682a_213			Enterococcus hirae	SAMN16255443	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1682a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_hirae_div1726a_214			Enterococcus hirae	SAMN16255447	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1726a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_hirae_gcid_2549_215			Enterococcus hirae	SAMN16255431	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2549	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_hirae_gcid_2585_216			Enterococcus hirae	SAMN16255601	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2585	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_hirae_gcid_2672_217			Enterococcus hirae	SAMN16255442	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2672	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_lactis_div1283b_218			Enterococcus lactis	SAMN16255473	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1283b	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_mangumiae_div2359_219			Enterococcus mangumiae	SAMN16255712	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2359	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_mangumiae_div2371_220			Enterococcus mangumiae	SAMN16255644	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2371	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_mangumiae_div2381_221			Enterococcus mangumiae	SAMN16255696	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2381	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_mangumiae_div2417_222			Enterococcus mangumiae	SAMN16255711	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2417	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_pernyi_az045_223			Enterococcus pernyi	SAMN16255535	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ045	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_mundtii_az062_224			Enterococcus mundtii	SAMN16255420	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ062	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_pernyi_az080_225			Enterococcus pernyi	SAMN16255521	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ080	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_pernyi_az084_226			Enterococcus pernyi	SAMN16255399	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ084	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_pernyi_az093_227			Enterococcus pernyi	SAMN16255587	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ093	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_pernyi_az095b_228			Enterococcus pernyi	SAMN16255519	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ095b	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_pernyi_az147_229			Enterococcus pernyi	SAMN16255497	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ147	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_pernyi_az153_230			Enterococcus pernyi	SAMN16255514	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ153	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_pernyi_az156_231			Enterococcus pernyi	SAMN16255515	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ156	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_pernyi_az161_232			Enterococcus pernyi	SAMN16255499	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ161	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_pernyi_az162_233			Enterococcus pernyi	SAMN16255501	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ162	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_pernyi_az171_234			Enterococcus pernyi	SAMN16255469	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ171	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_pernyi_az172_235			Enterococcus pernyi	SAMN16255467	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	AZ172	newly sequenced	NovaSeq 6000	Sgardioli, 2021	GridION
enterococcus_mundtii_div0806c_236			Enterococcus mundtii	SAMN16255597	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0806c	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_pernyi_div0996a_237			Enterococcus pernyi	SAMN16255518	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV0996a	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_pernyi_div1286c_238			Enterococcus pernyi	SAMN16255528	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1286c	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_mundtii_div1288f_239			Enterococcus mundtii	SAMN16255551	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1288f	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_pernyi_div1368e_240			Enterococcus pernyi	SAMN16255527	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV1368e	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_pernyi_div2389_241			Enterococcus pernyi	SAMN16255433	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2389	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_pernyi_div2316_242			Enterococcus pernyi	SAMN16255558	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2316	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_pernyi_div2357_243			Enterococcus pernyi	SAMN16255536	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	DIV2357	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_pernyi_gcid_2587_244			Enterococcus pernyi	SAMN16255458	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2587	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_pernyi_gcid_2731_245			Enterococcus pernyi	SAMN16255503	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2731	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_mundtii_gcid_2734_246			Enterococcus mundtii	SAMN16255436	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2734	newly sequenced	NovaSeq 6000	newly sequenced	GridION
enterococcus_raffinosus_gcid_2558_247			Enterococcus raffinosus	SAMN16255370	Teixeira_2025_bbaf589	10.1093/bib/bbaf589	ST1	GCID-2558	newly sequenced	NovaSeq 6000	newly sequenced	GridION
